034135 410000 滬深2X凱基0C購03
035774 409000 大成鋼富邦0C購05
032409 409000 南紡元大0A購04  
031655 408000 台積電元大11購10
035052 407000 國泰金富邦11購01
034139 406000 中鋼凱基13購02  
033818 405000 台達電統一11購01
034453 405000 華擎兆豐0C購01  
035713 405000 順德元大0B購01  
035801 404000 中鋼凱基12購04  
8163 404000 達方            
086486 403000 晶技統一0B購01  
034234 403000 台聚統一0C購01  
06543P 403000 臺股指凱基0C售09
033443 402000 欣興元大12購01  
6202 402000 盛群            
078335 401000 台積電凱基0A購02
082990 401000 嘉澤元大08購01  
031898 400000 亞聚永豐0A購02  
032082 400000 台聚永豐0A購04  
034457 400000 聯電群益11購02  
085764 400000 上証2X凱基0A購04
08748P 400000 台積電元富07售02
05436P 400000 滬深2X元大06售08
035590 399000 泰豐元大0B購02  
032577 399000 台苯元大0A購02  
088576 399000 智易凱基0A購01  
4961 398404 天鈺            
1467 397000 南緯            
030990 395000 申豐元大0B購01  
035793 394000 台船永豐0B購01  
086603 394000 光磊中信09購01  
085304 394000 台積電元大0C購06
030478 393000 正隆永豐0A購01  
006208 392000 富邦台50        
020020 392000 元大台股領航N   
075363 392000 玉晶光國票08購01
031122 391000 聯電統一0C購01  
2867 391000 三商壽          
032411 390000 儒鴻元大0A購02  
089313 390000 聯詠國票0A購04  
034140 389000 新光鋼凱基0B購01
077480 388000 祥碩國票06購05  
083406 388000 聯電永豐07購05  
030733 387000 凌陽元大0A購01  
2906 387000 高林            
05417P 386000 臺股指國票0B售02
079294 383000 聯電元富08購06  
8271 383000 宇瞻            
035086 382000 春源凱基11購01  
030798 381000 長榮凱基0A購08  
033291 381000 群創統一15購01  
080028 380000 大立光國泰0A購01
083966 380000 欣興凱基0C購01  
00861 378611 元大全球未來通訊
4938 378378 和碩            
030187 378000 上証2X凱基12購01
2355 377960 敬鵬            
1337 377000 再生-KY         
031759 376000 臺股指凱基11購07
086566 376000 圓展元大09購01  
032446 375000 晶技元大0A購02  
03503B 375000 臺股指凱基0A熊20
035106 375000 國泰金元大0B購04
084312 374000 聯發科凱基09購04
5285 374000 界霖            
032768 373000 永光元大0C購01  
030624 373000 玉晶光元大11購01
07199P 372000 臺股指中信13售04
035851 371000 新光鋼統一0B購03
086987 370000 晶技元富0C購02  
033583 367000 大成鋼凱基13購03
034031 367000 中鋼元富0B購04  
1309 366000 台達化          
035252 365000 中纖凱基11購01  
086425 364000 聯發科富邦0C購02
081346 364000 滬深2X凱基0A購01
6176 363056 瑞儀            
080902 363000 恆大凱基0A購01  
074078 362000 精元元富08購04  
085344 362000 三陽永豐08購01  
2855 360000 統一證          
079052 360000 神達元大07購01  
084693 360000 廣宇統一0B購01  
2485 358407 兆赫            
088679 358000 南茂元大09購02  
034695 358000 長榮群益0C購08  
2027 357759 大成鋼          
031920 357000 景碩永豐0A購02  
035707 356000 大成鋼元大0B購16
032537 355000 長榮凱基14購05  
035620 355000 榮成國票0C購01  
031628 354000 長榮統一0C購07  
1220 353000 台榮            
034915 353000 裕民元富12購05  
030247 352000 超豐永豐0A購01  
035087 352000 燁輝凱基11購01  
089569 352000 晶碩中信0B購01  
2376 351831 技嘉            
2417 351000 圓剛            
034371 351000 大亞元大0B購04  
087071 350000 裕隆統一0B購01  
087160 350000 台積電第一12購02
06269P 350000 國巨凱基09售06  
084738 350000 圓剛元大08購01  
083085 350000 聯電元大07購11  
034454 349000 聯成群益0B購06  
00875 349000 國泰網路資安    
2442 349000 新美齊          
083338 348000 宏碁統一09購01  
035089 347000 新光鋼凱基11購01
033593 347000 中石化兆豐11購01
079728 347000 榮成統一07購01  
033379 345000 大成鋼元大0B購06
2905 345000 三商            
034418 344000 國巨統一11購02  
034243 342000 新光鋼統一0C購03
9910 341273 豐泰            
087354 341000 聯發科麥證09購05
035419 341000 大成鋼元大0B購14
087468 340000 帆宣國票0A購01  
087669 340000 上証2X元大0A購01
2415 340000 錩新            
08952P 340000 台積電元富07售08
035828 339000 東鋼元大0B購07  
033168 338000 台玻永豐0B購01  
3312 338000 弘憶股          
9902 338000 台火            
033906 337000 群創統一0C購11  
081578 335000 台達化元大07購02
6271 334320 同欣電          
3033 334000 威健            
5469 333075 瀚宇博          
033676 332000 燁輝元大11購01  
034042 332000 光罩元富12購02  
2365 331000 昆盈            
086439 331000 南電中信0A購03  
07160P 331000 旺宏凱基0B售06  
034368 330000 南紡元大11購01  
035219 330000 永豐餘國泰11購01
034948 330000 大成鋼凱基15購01
6215 330000 和椿            
031202 329000 台達化凱基0A購02
086538 329000 台灣50元大0A購10
2332 328170 友訊            
2504 328000 國產            
084021 328000 聯發科統一09購14
033560 327000 南紡永豐0B購01  
035421 327000 新光鋼元大0C購03
034961 327000 聯成元大0B購03  
07061P 327000 臺股指國票0B售15
032635 325000 長榮統一0C購11  
032354 324000 中鋼凱基12購03  
3027 324000 盛達            
080295 324000 上緯控中信09購01
082916 323000 滬深2X國票09購01
1514 322000 亞力            
2431 321000 聯昌            
3413 321000 京鼎            
030120 320000 岱宇凱基0A購01  
3062 320000 建漢            
034792 320000 T50反1中信13購02
030032 317000 巨大統一0C購01  
07196P 317000 長榮富邦12售04  
083624 317000 台積電凱基08購12
031447 316000 A50正2元富11購01
034091 316000 裕民元大11購02  
1464 315000 得力            
1604 315000 聲寶            
033341 314000 友達永豐0B購02  
033409 313000 聯發科第一15購01
07025P 313000 儒鴻凱基0B售02  
084165 313000 台積電凱基09購07
031366 311000 正隆永豐0A購02  
2399 311000 映泰            
031389 310000 長榮統一0B購08  
086409 310000 京鼎統一0B購01  
087801 310000 南電麥證0A購02  
035700 310000 聯成元大0B購04  
035420 309000 新光鋼元大0B購06
082347 308000 欣興國泰09購01  
033968 307000 中鋼凱基0C購03  
080632 307000 永光元大09購01  
078327 307000 台積電康和07購01
032254 306000 台船元大0B購01  
032065 306000 中石化中信0A購03
088343 306000 智易元大09購02  
3149 306000 正達            
080633 306000 寶齡元大09購01  
031872 305000 大成鋼凱基11購01
030091 303000 泰豐永豐0A購01  
089115 303000 祥碩國票0B購02  
035494 302000 金像電國泰12購01
087279 302000 岱宇元大09購01  
086274 302000 南茂永豐09購01  
031349 300000 瑞祺元大0A購02  
032591 300000 友達元大0A購11  
087055 300000 聯茂凱基09購01  
034376 300000 台玻元大0B購06  
078890 300000 嘉晶元大06購01  
077549 300000 欣興國票06購05  
031894 299000 臺股指凱基0A購18
034395 299000 台郡元大0C購03  
083594 299000 上緯控國票09購01
035084 298000 大亞凱基11購02  
086856 298000 南茂元大0A購01  
04831P 298000 玉晶光元富0B售01
034240 298000 大成鋼統一0C購03
034605 298000 裕民統一0B購03  
030983 297000 國揚元大0A購03  
06373P 297000 聯詠元大08售05  
067651 297000 漢唐元富07購01  
035021 295000 台達電凱基0B購03
1708 294000 東鹼            
034905 293000 台橡元大0B購02  
06186P 292000 臺股指國票08售07
2834 291868 臺企銀          
032193 291000 可成群益0C購01  
034657 291000 長榮永豐0B購02  
034785 291000 華邦電國泰11購02
035964 290000 台積電元大0C購15
087371 290000 華夏元大0B購01  
033901 289000 聯發科統一15購06
082773 288000 愛普統一09購06  
6226 287000 光鼎            
00675L 286579 富邦臺灣加權正2 
6582 285906 申豐            
035963 285000 台積電元大0C購14
031983 285000 南紡群益0C購01  
3419 285000 譁裕            
033795 285000 台郡元大0B購02  
075362 285000 玉晶光國票07購06
032090 284000 遠東新永豐0A購02
033110 284000 聯電富邦13購02  
035363 283000 中鋼統一0B購08  
6209 283000 今國光          
8081 282865 致新            
035414 282000 南紡元大0B購05  
035507 281000 富邦金凱基0C購01
1611 280000 中電            
032489 279000 欣興兆豐0B購01  
087483 278000 晶相光永豐09購01
034379 278000 中鋼元大13購01  
077274 276000 和大統一07購01  
4927 276000 泰鼎-KY         
1474 275000 弘裕            
034229 275000 國泰金康和0B購01
05993P 275000 裕隆元大07售06  
07213P 275000 萬海元富0B售06  
032558 274000 友達群益0A購06  
032915 274000 大亞國票0A購01  
035309 274000 新光鋼元大0B購05
035826 273000 中鋼元大0B購16  
035466 272000 創意國票0C購01  
035039 270000 華新國票0B購02  
031476 270000 華邦電國票0B購01
031242 270000 金像電群益0A購01
1618 270000 合機            
1104 270000 環泥            
083737 270000 華泰國票08購01  
031069 269000 京鼎元大0A購02  
089025 269000 立積元大11購01  
033553 268000 技嘉中信0B購01  
034291 268000 中鋼中信0B購04  
082764 268000 欣興統一09購04  
089874 267000 松翰國泰0C購01  
912000 267000 晨訊科-DR       
033830 266000 鴻海國泰11購01  
086723 266000 南茂元大09購01  
034157 265000 新光鋼永豐0B購01
6282 265000 康舒            
00708L 263000 期元大S&P黃金正2
032457 263000 巨大元大0A購02  
035212 261000 長榮富邦12購03  
078040 260000 TPK凱基06購01   
9911 258486 櫻花            
031448 258000 華紙元富0A購01  
030827 258000 聯電中信0A購02  
034902 258000 南紡元大0B購04  
032245 257000 聯成元大0C購01  
031323 257000 台達電元大0A購01
087766 257000 儒鴻中信09購01  
034435 256000 中鋼凱基13購03  
086621 256000 恆大凱基09購01  
089264 256000 南電統一0A購10  
06846P 256000 台灣50凱基11售01
080362 256000 國巨元富09購05  
032708 255000 南紡群益0A購05  
030323 255000 聯發科麥證12購02
06537P 255000 台積電麥證09售06
07240P 255000 儒鴻元大0B售02  
00728 254609 第一金工業30    
030184 254000 景碩兆豐0B購01  
031695 254000 中石化永豐0A購02
033832 254000 華邦電國泰11購01
2101 254000 南港            
06762P 254000 玉晶光台新0A售01
034060 253000 台玻國票0C購03  
078130 252000 聯電群益06購04  
085905 251000 全新富邦0A購01  
034647 251000 國喬國泰11購01  
033918 251000 華新元大0B購05  
083711 251000 恆大元大08購01  
2892 250881 第一金          
031735 250000 中石化凱基14購01
032079 250000 大成鋼兆豐0B購02
030220 250000 揚明光凱基11購01
031328 250000 友達元大0A購07  
087057 250000 安集凱基09購01  
088549 250000 正文群益0A購01  
034178 250000 遠東新元大0B購01
083888 250000 道瓊銀元大08購02
082457 250000 台積電元大07購16
079848 250000 合勤控元大06購02
033916 249000 台聚元大0B購03  
00635U 248922 期元大S&P黃金   
00634R 248000 富邦上証反1     
033070 248000 長榮凱基0A購21  
089322 248000 東鋼富邦0A購01  
085978 248000 臺股指凱基12購01
086095 248000 華邦電永豐08購02
034544 248000 富邦金統一0C購02
033499 248000 王品統一0C購02  
034227 248000 中石化康和11購01
085595 248000 T50反1元大0C購01
1522 247000 堤維西          
033663 247000 欣興統一15購02  
034850 247000 中鋼構元大0C購01
085220 247000 南電國票09購01  
081461 247000 光磊元富07購01  
2889 246163 國票金          
031885 246000 長榮凱基14購04  
035804 246000 台船凱基12購01  
035088 246000 大成鋼凱基11購02
033991 246000 奇力新兆豐0B購01
083554 246000 臺股指元大07購20
034321 245000 大亞群益11購01  
034876 245000 晶技國泰11購02  
032839 244000 亞泥中信0A購01  
087724 244000 滬深2X元富0C購01
035082 243000 南紡凱基11購02  
034591 243000 中鋼統一0B購02  
9802 243000 鈺齊-KY         
030892 242000 南紡凱基0A購01  
085703 242000 台達化富邦0A購02
6152 241504 百一            
1783 241000 和康生          
034674 241000 長榮凱基12購03  
083207 241000 台積電統一0A購04
085850 240000 華邦電統一08購07
086203 240000 嘉澤凱基08購01  
2613 240000 中櫃            
034803 240000 長榮凱基15購01  
033749 239000 富邦金兆豐0B購02
083162 239000 大立光群益07購08
